episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
220,1.0,3.1999899961005953,0.6831202195156455,0.18687302472564754,15.0,2.6666666666667,7,0.0,False,True,0.7920040264072513,1,17.709159380834848,1770.6,prepare,0.0
220,2.0,3.1997327938476943,0.6831032114197834,0.18326595495146542,30.0,2.6666666666667,9,1.0,False,True,0.7905513581379274,1,17.709159380834848,1770.685,in_progress,0.0
220,3.0,3.2150525507008934,0.6870516492940562,0.9055607301639027,30.0,1.3333333333333,8,1.0,False,True,0.877093008980079,1,17.709159380834848,1770.763,in_progress,0.0
220,4.0,3.2441155264296966,0.7043756131756475,4.785615651987193,-15.0,1.3333333333333,2,1.0,False,True,1.041355297790656,1,17.709159380834848,1770.815,in_progress,0.0
220,5.0,3.2813292152455715,0.7274434299449167,9.447700085309842,0.0,2.6666666666667,4,1.0,False,True,1.2516926099577859,1,17.709159380834848,1770.887,in_progress,0.0
220,6.0,3.3314913555835672,0.7383259856364373,9.999094168813073,-30.0,1.3333333333333,0,1.0,False,True,1.5350417251503363,2,17.709159380834848,1770.966,in_progress,0.0
220,7.0,3.4128392561454186,0.7326750542994613,5.587698407226431,-15.0,2.6666666666667,3,1.0,False,True,1.9939918115032769,2,17.709159380834848,1771.02,in_progress,0.0
220,8.0,3.480996205070491,0.7142910208575586,-0.08885251779960435,-15.0,1.3333333333333,2,1.0,False,True,2.3788338269328775,3,17.709159380834848,1771.091,in_progress,0.0
220,9.0,3.561017223815987,0.6816145163144992,-7.136710392134208,-15.0,1.3333333333333,2,1.0,False,True,2.830647906401881,3,17.709159380834848,1771.169,in_progress,0.0
220,10.0,3.6489447803225286,0.6355642356221078,-14.636466958556818,15.0,2.6666666666667,7,0.5,False,True,3.3270539166684903,4,17.709159380834848,1771.23,in_progress,0.0
220,11.0,3.7282356929569076,0.5974270121299454,-18.266941321310192,15.0,2.6666666666667,7,0.5,False,True,3.774718884925332,4,17.709159380834848,1771.295,in_progress,0.0
220,12.0,3.8359865197419314,0.5661506780777169,-17.445139277472837,30.0,1.3333333333333,8,0.5,False,True,4.383116860170647,5,17.709159380834848,1771.351,in_progress,0.0
220,13.0,3.931163064134399,0.5506972910671147,-14.587749822180726,30.0,2.6666666666667,9,0.5,False,True,4.92052894778996,6,17.709159380834848,1771.428,in_progress,0.0
220,14.0,4.046056678810887,0.5425887060697312,-10.154478354931049,30.0,2.6666666666667,9,0.5,False,True,5.569294035827728,7,17.709159380834848,1771.49,in_progress,0.0
220,15.0,4.167355522515166,0.5530995097299701,-3.493734652277714,15.0,2.6666666666667,7,1.0,False,True,6.254259748098652,7,17.709159380834848,1771.549,in_progress,0.0
220,16.0,4.3015338302860595,0.579184072867604,3.875162642318379,30.0,1.3333333333333,8,1.0,False,True,7.011985792181531,8,17.709159380834848,1771.615,in_progress,0.0
220,17.0,4.445475819921085,0.6219742705781658,11.242901254302454,0.0,4.0,5,0.5,False,True,7.824884982726645,9,17.709159380834848,1771.683,in_progress,0.0
220,18.0,4.558867282457501,0.6625466926290554,16.128434013077964,-15.0,1.3333333333333,2,0.5,False,True,8.465263373786682,10,17.709159380834848,1771.763,in_progress,0.0
220,19.0,4.692808065054262,0.6953809290927084,16.605122030373366,-15.0,2.6666666666667,3,0.5,False,True,9.221667667525756,11,17.709159380834848,1771.832,in_progress,0.0
220,20.0,4.822513862433246,0.7140082887761561,12.653478560254033,-30.0,1.3333333333333,0,0.5,False,True,9.954131292896383,12,17.709159380834848,1771.89,in_progress,0.0
220,21.0,4.930358915113948,0.7179681277729882,8.354378510168806,-30.0,1.3333333333333,0,1.0,False,True,10.563119601891021,12,17.709159380834848,1771.96,in_progress,0.0
220,22.0,5.041377415641593,0.7142199755697933,4.081047369791585,0.0,4.0,5,1.0,False,True,11.190003845021309,13,17.709159380834848,1772.034,in_progress,0.0
220,23.0,5.142113019065425,0.7076165720691929,1.1728225345816685,-15.0,1.3333333333333,2,1.0,False,True,11.758824015603667,14,17.709159380834848,1772.086,in_progress,0.0
220,24.0,5.257707897468736,0.7027754800849002,-0.5558463075631264,-15.0,1.3333333333333,2,1.0,False,True,12.411549645836944,15,17.709159380834848,1772.161,in_progress,0.0
220,25.0,5.365719697516992,0.6869529006063572,-3.6836783982560948,-15.0,1.3333333333333,2,1.0,False,True,13.021445561541018,15,17.709159380834848,1772.222,in_progress,0.0
220,26.0,5.456415093981554,0.6673360075234155,-6.641574916486052,-15.0,1.3333333333333,2,1.0,False,True,13.5334378558514,16,17.709159380834848,1772.296,in_progress,0.0
220,27.0,5.551172353578099,0.6406221034502597,-9.922116557600791,30.0,1.3333333333333,8,0.5,False,True,14.06829116343177,17,17.709159380834848,1772.359,in_progress,0.0
220,28.0,5.6367300447801,0.623263924140227,-10.443476718992748,15.0,1.3333333333333,6,0.5,False,True,14.551890992859898,17,17.709159380834848,1772.426,in_progress,0.0
220,29.0,5.7341417647147495,0.6187356749714338,-7.588009802381609,30.0,1.3333333333333,8,1.0,False,True,15.101963305706084,18,17.709159380834848,1772.485,in_progress,0.0
220,30.0,5.828065678459269,0.6257253071977888,-3.4104653912523446,0.0,2.6666666666667,4,1.0,False,True,15.633736164020823,18,17.709159380834848,1772.553,in_progress,0.0
220,31.0,5.913152094044902,0.6365562775923813,-0.021837367294714433,15.0,1.3333333333333,6,1.0,False,True,16.114907785617266,19,17.709159380834848,1772.625,in_progress,0.0
