episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
120,1.0,3.200110675253372,0.6831805616848278,0.17841562402580188,-30.0,1.3333333333333,0,0.0,False,True,0.7926865632949323,1,17.709159380834848,912.331,prepare,0.0
120,2.0,3.2003050092882273,0.6831361146711974,0.15132662573417793,0.0,2.6666666666667,4,1.0,False,True,0.7937831194263719,1,17.709159380834848,912.407,in_progress,0.0
120,3.0,3.21206548863098,0.68379793180792,0.11512456095137553,-15.0,2.6666666666667,3,1.0,False,True,0.860197564931438,1,17.709159380834848,912.492,in_progress,0.0
120,4.0,3.240530612691163,0.682849936327682,-0.19070238397166558,-15.0,2.6666666666667,3,1.0,False,True,1.020925911034428,1,17.709159380834848,912.555,in_progress,0.0
120,5.0,3.282062942193849,0.6760195325433901,-1.8124537832897496,-30.0,1.3333333333333,0,1.0,False,True,1.2553911402628302,1,17.709159380834848,912.622,in_progress,0.0
120,6.0,3.3355896847157736,0.6550741746239725,-6.1557223865951025,0.0,2.6666666666667,4,1.0,False,True,1.5574642322194268,2,17.709159380834848,912.671,in_progress,0.0
120,7.0,3.393556587980063,0.6360771287433087,-9.070913840852853,15.0,1.3333333333333,6,1.0,False,True,1.8849682414981168,2,17.709159380834848,912.756,in_progress,0.0
120,8.0,3.4774515398051853,0.6372886742179011,-5.884859416554719,0.0,2.6666666666667,4,1.0,False,True,2.358707590073693,3,17.709159380834848,912.815,in_progress,0.0
120,9.0,3.55228343428361,0.6455169447703027,-2.316993743645924,0.0,2.6666666666667,4,1.0,False,True,2.7812493475497355,3,17.709159380834848,912.882,in_progress,0.0
120,10.0,3.6582647342851216,0.6597855382373911,1.5360517414686057,0.0,2.6666666666667,4,1.0,False,True,3.37973589493678,4,17.709159380834848,912.925,in_progress,0.0
120,11.0,3.775331216973611,0.6821743510543535,5.52814494268842,30.0,2.6666666666667,9,1.0,False,True,4.040836500917515,5,17.709159380834848,913.019,in_progress,0.0
120,12.0,3.914679368658879,0.7265841723193303,11.893505679504303,-15.0,1.3333333333333,2,0.5,False,True,4.827794383944245,6,17.709159380834848,913.096,in_progress,0.0
120,13.0,4.028207851371007,0.7688085361136064,16.938338372864525,-30.0,2.6666666666667,1,0.5,False,True,5.468949208047457,6,17.709159380834848,913.146,in_progress,0.0
120,14.0,4.129716766535115,0.7937298011985151,15.956914871696847,15.0,1.3333333333333,6,0.5,False,True,6.042202044864923,7,17.709159380834848,913.216,in_progress,0.0
120,15.0,4.2566693149569454,0.81758837018209,13.088804495559124,-30.0,2.6666666666667,1,0.5,False,True,6.759124723827985,8,17.709159380834848,913.289,in_progress,0.0
120,16.0,4.382822774445609,0.8370172304036115,10.741567881492161,-30.0,1.3333333333333,0,0.5,False,True,7.471531343711665,9,17.709159380834848,913.354,in_progress,0.0
120,17.0,4.501584647770518,0.8405445524890548,6.353848143413716,-15.0,2.6666666666667,3,1.0,False,True,8.142158940981394,10,17.709159380834848,913.417,in_progress,0.0
120,18.0,4.620739125841383,0.8338250908942791,2.193821992717715,15.0,1.3333333333333,6,1.0,False,True,8.814996481545865,10,17.709159380834848,913.48,in_progress,0.0
120,19.0,4.742589847120313,0.828092672853452,-0.45494146853017464,0.0,2.6666666666667,4,1.0,False,True,9.503064571271649,11,17.709159380834848,913.556,in_progress,0.0
120,20.0,4.8829097104532835,0.8355789356683146,1.4317007725147661,0.0,2.6666666666667,4,1.0,False,True,10.295441915164293,12,17.709159380834848,913.61,in_progress,0.0
120,21.0,4.996627014110139,0.8534106484132328,4.654765707791583,-30.0,1.3333333333333,0,1.0,False,True,10.937619369590994,13,17.709159380834848,913.678,in_progress,0.0
120,22.0,5.13291385911238,0.8733825237158943,6.717197284081419,15.0,1.3333333333333,6,1.0,False,True,11.707208041170366,14,17.709159380834848,913.741,in_progress,0.0
120,23.0,5.2584270932655786,0.8937084857874288,7.907832305613234,30.0,2.6666666666667,9,1.0,False,True,12.41593638131292,15,17.709159380834848,913.824,in_progress,0.0
120,24.0,5.3717597777153605,0.9279258315578471,11.861227840915012,-30.0,1.3333333333333,0,0.5,False,True,13.05616328603601,15,17.709159380834848,913.891,in_progress,0.0
120,25.0,5.484621268521865,0.9707138247124084,16.200462245081386,0.0,2.6666666666667,4,0.5,False,True,13.695221722655267,16,17.709159380834848,913.969,in_progress,0.0
120,26.0,5.607362379655083,1.0120311334404184,17.55291551554555,0.0,2.6666666666667,4,0.5,False,False,14.385346229797214,17,17.709159380834848,914.033,in_progress,0.0
120,27.0,5.726593674381363,1.0529466940384955,18.13168439138062,15.0,1.3333333333333,6,0.5,False,False,15.058546033583065,18,17.709159380834848,914.085,in_progress,0.0
120,28.0,5.849108097248067,1.1017645114048913,19.806369919015786,0.0,4.0,5,0.5,False,False,15.740135653230825,19,17.709159380834848,914.154,in_progress,0.0
120,29.0,5.953424272873164,1.1512150060330908,22.17373230932283,15.0,2.6666666666667,7,0.5,False,False,16.317994523636145,19,17.709159380834848,914.235,in_progress,0.0
120,30.0,6.088351425923374,1.228230785234382,26.278172119736222,15.0,1.3333333333333,6,0.5,False,False,17.180793192052803,20,17.709159380834848,914.282,in_progress,0.0
120,31.0,6.2022675726034455,1.3101774852249921,31.38680835827949,15.0,1.3333333333333,6,0.5,True,False,18.03643645269978,21,17.709159380834848,914.366,off_track,0.0
121,1.0,4.085401230166054,0.6835664213922726,0.021169343487148034,15.0,2.6666666666667,7,0.0,False,True,0.7917412527687893,7,17.709159380834848,914.465,prepare,0.0
